commit	num_features	added_terms	pruned_terms	glm_formula
c46becc	23	{}	{}	default ~ X6 + X7 + X8 + X9 + X10 + X11 + X1 + X18 + X21 + X19 + X23 + X20 + X22 + X2 + X3 + X4 + X12 + X13 + X14 + X15 + X5 + X16 + X17
6bb15d1	23	{X6_clip96__xgb_spline_1, X6_clip96, X7_clip96, X8_clip96, X9_clip96, X10_clip96, X11_clip96, X1_clip96, X1_clip96__xgb_spline_80000, X1_clip96__xgb_spline_100000, X19_clip96, X18_clip96, X1_clip96__xgb_spline_150000, X19_clip96__xgb_spline_1606, X18_clip96__xgb_spline_803, X19_clip96__xgb_spline_5000, X21_clip96, X21_clip96__xgb_spline_6, X18_clip96__xgb_spline_4534, X21_clip96__xgb_spline_1001, X1_clip96__xgb_spline_250000, X19_clip96__xgb_spline_15038, X19_clip96__xgb_spline_19800}	{X6, X7, X8, X9, X10, X11, X1, X18, X21, X19, X23, X20, X22, X2, X3, X4, X12, X13, X14, X15, X5, X16, X17}	default ~ X6_clip96__xgb_spline_1 + X6_clip96 + X7_clip96 + X8_clip96 + X9_clip96 + X10_clip96 + X11_clip96 + X1_clip96 + X1_clip96__xgb_spline_80000 + X1_clip96__xgb_spline_100000 + X19_clip96 + X18_clip96 + X1_clip96__xgb_spline_150000 + X19_clip96__xgb_spline_1606 + X18_clip96__xgb_spline_803 + X19_clip96__xgb_spline_5000 + X21_clip96 + X21_clip96__xgb_spline_6 + X18_clip96__xgb_spline_4534 + X21_clip96__xgb_spline_1001 + X1_clip96__xgb_spline_250000 + X19_clip96__xgb_spline_15038 + X19_clip96__xgb_spline_19800
45cf674	28	{X20_clip96, X20_clip96__xgb_spline_396, X20_clip96__xgb_spline_810, X22_clip96, X23_clip96, X22_clip96__xgb_spline_752, X23_clip96__xgb_spline_912}	{X19_clip96__xgb_spline_15038, X19_clip96__xgb_spline_19800}	default ~ X6_clip96__xgb_spline_1 + X6_clip96 + X7_clip96 + X8_clip96 + X9_clip96 + X10_clip96 + X11_clip96 + X1_clip96 + X1_clip96__xgb_spline_80000 + X1_clip96__xgb_spline_100000 + X19_clip96 + X18_clip96 + X1_clip96__xgb_spline_150000 + X19_clip96__xgb_spline_1606 + X18_clip96__xgb_spline_803 + X20_clip96 + X20_clip96__xgb_spline_396 + X20_clip96__xgb_spline_810 + X19_clip96__xgb_spline_5000 + X22_clip96 + X23_clip96 + X21_clip96 + X21_clip96__xgb_spline_6 + X22_clip96__xgb_spline_752 + X23_clip96__xgb_spline_912 + X18_clip96__xgb_spline_4534 + X21_clip96__xgb_spline_1001 + X1_clip96__xgb_spline_250000
3ee8be1	40	{X19_clip96__xgb_spline_15038, X19_clip96__xgb_spline_19800, X22_clip96__xgb_spline_12092, X20_clip96__xgb_spline_20000, X3_clip96, X2_clip96, X12_clip96, X12_clip96__xgb_spline_8413, X4_clip96, X13_clip96, X14_clip96, X15_clip96}	{}	default ~ X6_clip96__xgb_spline_1 + X6_clip96 + X7_clip96 + X8_clip96 + X9_clip96 + X10_clip96 + X11_clip96 + X1_clip96 + X1_clip96__xgb_spline_80000 + X1_clip96__xgb_spline_100000 + X19_clip96 + X18_clip96 + X1_clip96__xgb_spline_150000 + X19_clip96__xgb_spline_1606 + X18_clip96__xgb_spline_803 + X20_clip96 + X20_clip96__xgb_spline_396 + X20_clip96__xgb_spline_810 + X19_clip96__xgb_spline_5000 + X22_clip96 + X23_clip96 + X21_clip96 + X21_clip96__xgb_spline_6 + X22_clip96__xgb_spline_752 + X23_clip96__xgb_spline_912 + X18_clip96__xgb_spline_4534 + X21_clip96__xgb_spline_1001 + X1_clip96__xgb_spline_250000 + X19_clip96__xgb_spline_15038 + X19_clip96__xgb_spline_19800 + X22_clip96__xgb_spline_12092 + X20_clip96__xgb_spline_20000 + X3_clip96 + X2_clip96 + X12_clip96 + X12_clip96__xgb_spline_8413 + X4_clip96 + X13_clip96 + X14_clip96 + X15_clip96
f79f0ab	40	{X1_clip96__xgb_spline_50000}	{X15_clip96}	default ~ X6_clip96__xgb_spline_1 + X6_clip96 + X7_clip96 + X8_clip96 + X9_clip96 + X10_clip96 + X11_clip96 + X1_clip96 + X1_clip96__xgb_spline_50000 + X1_clip96__xgb_spline_80000 + X1_clip96__xgb_spline_100000 + X19_clip96 + X18_clip96 + X1_clip96__xgb_spline_150000 + X19_clip96__xgb_spline_1606 + X18_clip96__xgb_spline_803 + X20_clip96 + X20_clip96__xgb_spline_396 + X20_clip96__xgb_spline_810 + X19_clip96__xgb_spline_5000 + X22_clip96 + X23_clip96 + X21_clip96 + X21_clip96__xgb_spline_6 + X22_clip96__xgb_spline_752 + X23_clip96__xgb_spline_912 + X18_clip96__xgb_spline_4534 + X21_clip96__xgb_spline_1001 + X1_clip96__xgb_spline_250000 + X19_clip96__xgb_spline_15038 + X19_clip96__xgb_spline_19800 + X22_clip96__xgb_spline_12092 + X20_clip96__xgb_spline_20000 + X3_clip96 + X2_clip96 + X12_clip96 + X12_clip96__xgb_spline_8413 + X4_clip96 + X13_clip96 + X14_clip96
0f7bdfb	40	{}	{}	default ~ X6_clip96__xgb_spline_1 + X6_clip96 + X7_clip96 + X8_clip96 + X9_clip96 + X10_clip96 + X11_clip96 + X1_clip96 + X1_clip96__xgb_spline_50000 + X1_clip96__xgb_spline_80000 + X1_clip96__xgb_spline_100000 + X19_clip96 + X18_clip96 + X1_clip96__xgb_spline_150000 + X19_clip96__xgb_spline_1606 + X18_clip96__xgb_spline_803 + X20_clip96 + X20_clip96__xgb_spline_396 + X20_clip96__xgb_spline_810 + X19_clip96__xgb_spline_5000 + X22_clip96 + X23_clip96 + X21_clip96 + X21_clip96__xgb_spline_6 + X22_clip96__xgb_spline_752 + X23_clip96__xgb_spline_912 + X18_clip96__xgb_spline_4534 + X21_clip96__xgb_spline_1001 + X1_clip96__xgb_spline_250000 + X19_clip96__xgb_spline_15038 + X19_clip96__xgb_spline_19800 + X22_clip96__xgb_spline_12092 + X20_clip96__xgb_spline_20000 + X3_clip96 + X2_clip96 + X12_clip96 + X12_clip96__xgb_spline_8413 + X4_clip96 + X13_clip96 + X14_clip96
1d65327	40	{X6_clip97__xgb_spline_1, X6_clip97, X7_clip97, X8_clip97, X9_clip97, X10_clip97, X11_clip97, X1_clip97, X1_clip97__xgb_spline_50000, X1_clip97__xgb_spline_80000, X1_clip97__xgb_spline_100000, X19_clip97, X1_clip97__xgb_spline_150000, X18_clip97, X19_clip97__xgb_spline_1606, X18_clip97__xgb_spline_803, X20_clip97, X20_clip97__xgb_spline_396, X20_clip97__xgb_spline_810, X19_clip97__xgb_spline_5000, X22_clip97, X21_clip97, X21_clip97__xgb_spline_6, X23_clip97, X22_clip97__xgb_spline_752, X18_clip97__xgb_spline_4534, X21_clip97__xgb_spline_1001, X1_clip97__xgb_spline_250000, X23_clip97__xgb_spline_912, X19_clip97__xgb_spline_15038, X19_clip97__xgb_spline_19800, X22_clip97__xgb_spline_12092, X20_clip97__xgb_spline_20000, X3_clip97, X2_clip97, X12_clip97, X12_clip97__xgb_spline_8413, X4_clip97, X13_clip97, X14_clip97}	{X6_clip96__xgb_spline_1, X6_clip96, X7_clip96, X8_clip96, X9_clip96, X10_clip96, X11_clip96, X1_clip96, X1_clip96__xgb_spline_50000, X1_clip96__xgb_spline_80000, X1_clip96__xgb_spline_100000, X19_clip96, X18_clip96, X1_clip96__xgb_spline_150000, X19_clip96__xgb_spline_1606, X18_clip96__xgb_spline_803, X20_clip96, X20_clip96__xgb_spline_396, X20_clip96__xgb_spline_810, X19_clip96__xgb_spline_5000, X22_clip96, X23_clip96, X21_clip96, X21_clip96__xgb_spline_6, X22_clip96__xgb_spline_752, X23_clip96__xgb_spline_912, X18_clip96__xgb_spline_4534, X21_clip96__xgb_spline_1001, X1_clip96__xgb_spline_250000, X19_clip96__xgb_spline_15038, X19_clip96__xgb_spline_19800, X22_clip96__xgb_spline_12092, X20_clip96__xgb_spline_20000, X3_clip96, X2_clip96, X12_clip96, X12_clip96__xgb_spline_8413, X4_clip96, X13_clip96, X14_clip96}	default ~ X6_clip97__xgb_spline_1 + X6_clip97 + X7_clip97 + X8_clip97 + X9_clip97 + X10_clip97 + X11_clip97 + X1_clip97 + X1_clip97__xgb_spline_50000 + X1_clip97__xgb_spline_80000 + X1_clip97__xgb_spline_100000 + X19_clip97 + X1_clip97__xgb_spline_150000 + X18_clip97 + X19_clip97__xgb_spline_1606 + X18_clip97__xgb_spline_803 + X20_clip97 + X20_clip97__xgb_spline_396 + X20_clip97__xgb_spline_810 + X19_clip97__xgb_spline_5000 + X22_clip97 + X21_clip97 + X21_clip97__xgb_spline_6 + X23_clip97 + X22_clip97__xgb_spline_752 + X18_clip97__xgb_spline_4534 + X21_clip97__xgb_spline_1001 + X1_clip97__xgb_spline_250000 + X23_clip97__xgb_spline_912 + X19_clip97__xgb_spline_15038 + X19_clip97__xgb_spline_19800 + X22_clip97__xgb_spline_12092 + X20_clip97__xgb_spline_20000 + X3_clip97 + X2_clip97 + X12_clip97 + X12_clip97__xgb_spline_8413 + X4_clip97 + X13_clip97 + X14_clip97
8e9fbba	40	{X6_clip98__xgb_spline_1, X6_clip98, X7_clip98, X8_clip98, X9_clip98, X10_clip98, X11_clip98, X1_clip98, X1_clip98__xgb_spline_50000, X1_clip98__xgb_spline_80000, X1_clip98__xgb_spline_100000, X1_clip98__xgb_spline_150000, X19_clip98, X18_clip98, X19_clip98__xgb_spline_1606, X18_clip98__xgb_spline_803, X20_clip98, X20_clip98__xgb_spline_396, X20_clip98__xgb_spline_810, X19_clip98__xgb_spline_5000, X1_clip98__xgb_spline_250000, X22_clip98, X21_clip98, X21_clip98__xgb_spline_6, X18_clip98__xgb_spline_4534, X22_clip98__xgb_spline_752, X23_clip98, X21_clip98__xgb_spline_1001, X23_clip98__xgb_spline_912, X19_clip98__xgb_spline_15038, X19_clip98__xgb_spline_19800, X22_clip98__xgb_spline_12092, X20_clip98__xgb_spline_20000, X3_clip98, X2_clip98, X4_clip98, X12_clip98, X12_clip98__xgb_spline_8413, X13_clip98, X14_clip98}	{X6_clip97__xgb_spline_1, X6_clip97, X7_clip97, X8_clip97, X9_clip97, X10_clip97, X11_clip97, X1_clip97, X1_clip97__xgb_spline_50000, X1_clip97__xgb_spline_80000, X1_clip97__xgb_spline_100000, X19_clip97, X1_clip97__xgb_spline_150000, X18_clip97, X19_clip97__xgb_spline_1606, X18_clip97__xgb_spline_803, X20_clip97, X20_clip97__xgb_spline_396, X20_clip97__xgb_spline_810, X19_clip97__xgb_spline_5000, X22_clip97, X21_clip97, X21_clip97__xgb_spline_6, X23_clip97, X22_clip97__xgb_spline_752, X18_clip97__xgb_spline_4534, X21_clip97__xgb_spline_1001, X1_clip97__xgb_spline_250000, X23_clip97__xgb_spline_912, X19_clip97__xgb_spline_15038, X19_clip97__xgb_spline_19800, X22_clip97__xgb_spline_12092, X20_clip97__xgb_spline_20000, X3_clip97, X2_clip97, X12_clip97, X12_clip97__xgb_spline_8413, X4_clip97, X13_clip97, X14_clip97}	default ~ X6_clip98__xgb_spline_1 + X6_clip98 + X7_clip98 + X8_clip98 + X9_clip98 + X10_clip98 + X11_clip98 + X1_clip98 + X1_clip98__xgb_spline_50000 + X1_clip98__xgb_spline_80000 + X1_clip98__xgb_spline_100000 + X1_clip98__xgb_spline_150000 + X19_clip98 + X18_clip98 + X19_clip98__xgb_spline_1606 + X18_clip98__xgb_spline_803 + X20_clip98 + X20_clip98__xgb_spline_396 + X20_clip98__xgb_spline_810 + X19_clip98__xgb_spline_5000 + X1_clip98__xgb_spline_250000 + X22_clip98 + X21_clip98 + X21_clip98__xgb_spline_6 + X18_clip98__xgb_spline_4534 + X22_clip98__xgb_spline_752 + X23_clip98 + X21_clip98__xgb_spline_1001 + X23_clip98__xgb_spline_912 + X19_clip98__xgb_spline_15038 + X19_clip98__xgb_spline_19800 + X22_clip98__xgb_spline_12092 + X20_clip98__xgb_spline_20000 + X3_clip98 + X2_clip98 + X4_clip98 + X12_clip98 + X12_clip98__xgb_spline_8413 + X13_clip98 + X14_clip98
593e0d1	40	{}	{}	default ~ X6_clip98__xgb_spline_1 + X6_clip98 + X7_clip98 + X8_clip98 + X9_clip98 + X10_clip98 + X11_clip98 + X1_clip98 + X1_clip98__xgb_spline_50000 + X1_clip98__xgb_spline_80000 + X1_clip98__xgb_spline_100000 + X1_clip98__xgb_spline_150000 + X19_clip98 + X18_clip98 + X19_clip98__xgb_spline_1606 + X18_clip98__xgb_spline_803 + X20_clip98 + X20_clip98__xgb_spline_396 + X20_clip98__xgb_spline_810 + X19_clip98__xgb_spline_5000 + X1_clip98__xgb_spline_250000 + X22_clip98 + X21_clip98 + X21_clip98__xgb_spline_6 + X18_clip98__xgb_spline_4534 + X22_clip98__xgb_spline_752 + X23_clip98 + X21_clip98__xgb_spline_1001 + X23_clip98__xgb_spline_912 + X19_clip98__xgb_spline_15038 + X19_clip98__xgb_spline_19800 + X22_clip98__xgb_spline_12092 + X20_clip98__xgb_spline_20000 + X3_clip98 + X2_clip98 + X4_clip98 + X12_clip98 + X12_clip98__xgb_spline_8413 + X13_clip98 + X14_clip98
28f24cf	37	{}	{X22_clip98__xgb_spline_12092, X20_clip98__xgb_spline_20000, X13_clip98}	default ~ X6_clip98__xgb_spline_1 + X6_clip98 + X7_clip98 + X8_clip98 + X9_clip98 + X10_clip98 + X11_clip98 + X1_clip98 + X1_clip98__xgb_spline_50000 + X1_clip98__xgb_spline_80000 + X1_clip98__xgb_spline_100000 + X1_clip98__xgb_spline_150000 + X19_clip98 + X18_clip98 + X19_clip98__xgb_spline_1606 + X18_clip98__xgb_spline_803 + X20_clip98 + X20_clip98__xgb_spline_396 + X20_clip98__xgb_spline_810 + X19_clip98__xgb_spline_5000 + X1_clip98__xgb_spline_250000 + X22_clip98 + X21_clip98 + X21_clip98__xgb_spline_6 + X18_clip98__xgb_spline_4534 + X22_clip98__xgb_spline_752 + X23_clip98 + X21_clip98__xgb_spline_1001 + X23_clip98__xgb_spline_912 + X19_clip98__xgb_spline_15038 + X19_clip98__xgb_spline_19800 + X3_clip98 + X2_clip98 + X4_clip98 + X12_clip98 + X12_clip98__xgb_spline_8413 + X14_clip98
