====================================================================
MOLS L3 Search  — is N(10) ≥ 3?
strategy    : adaptive
budget      : unlimited
eval_budget : 60.0s
seed        : 1
====================================================================
====================================================================
N(10) ≥ 3 Adaptive Search — never-stopping
eval_budget=60.0s  save_dir=/home/user/autoresearch-glm/mols10/results
====================================================================

Loading seed pairs from /home/user/autoresearch-glm/mols10/results/mols_pairs_collection.json…
  [seed_0] ct=0  max_dis=0  src=seed
  [seed_1] ct=0  max_dis=0  src=seed
  [seed_2] ct=0  max_dis=0  src=seed
  [seed_3] ct=0  max_dis=0  src=seed
  [seed_4] ct=0  max_dis=0  src=seed
Loading promising pairs from promising_pairs.json…
  [resume] tv_21 ct=2
  [resume] ic2_tv_21_0 ct=2
  [resume] ic3_tv_21_0 ct=2
  [resume] ic5_tv_21_0 ct=2
  [resume] ic8_tv_21_0 ct=2
  [resume] ic1_3_tv_21 ct=2
  [resume] ic1_5_tv_21 ct=2
  [resume] iso_tv_21_0 ct=2
  [resume] iso_tv_21_1 ct=2
  [resume] iso_tv_21_2 ct=2
  [resume] ic8_tv_21_1 ct=2
  [resume] ic3_tv_21_1 ct=2
  [resume] ic5_tv_21_1 ct=2
  [resume] ic12_tv_21_0 ct=2
  [resume] ic2_tv_21_1 ct=2
  [resume] ic12_tv_21_1 ct=2
  [resume] sa_ct_36 ct=2
  [resume] sa_ct_38 ct=2
  [resume] sa_ct_43 ct=2
  [resume] tv_44 ct=2
  [resume] sa_ct_44 ct=2
  [resume] sa_ct_45 ct=2
  [resume] sa_ct_46 ct=2
  [resume] mdecomp_48 ct=2
  [resume] mdecomp_49 ct=2
  [resume] mdecomp_50 ct=2
  [resume] sa_ct_53 ct=2
  [resume] sa_ct_54 ct=2
  [resume] sa_ct_55 ct=2
  [resume] mdecomp_55 ct=2
  [resume] mdecomp_56 ct=2
  [resume] mdecomp_57 ct=2
  [resume] mdecomp_59 ct=2
  [resume] sa_ct_60 ct=2
  [resume] sa_ct_61 ct=2
  [resume] mdecomp_64 ct=2
  [resume] mdecomp_63 ct=2
  [resume] mdecomp_65 ct=2
  [resume] sa_ct_66 ct=2
  [resume] sa_ct_67 ct=2
  [resume] mdecomp_68 ct=2
  [resume] mdecomp_69 ct=2
  [resume] mdecomp_71 ct=2
  [resume] sa_ct_72 ct=2
  [resume] sa_ct_73 ct=2
  [resume] mdecomp_76 ct=2
  [resume] mdecomp_78 ct=2
  [resume] mdecomp_79 ct=2
  [resume] sa_ct_80 ct=2
  [resume] tv_81 ct=2
  [resume] sa_ct_82 ct=2
  [resume] mdecomp_80 ct=2
  [resume] mdecomp_81 ct=2
  [resume] mdecomp_82 ct=2
  [resume] mdecomp_84 ct=2
  [resume] sa_ct_85 ct=2
  [resume] sa_ct_86 ct=2
  [resume] mdecomp_89 ct=2
  [resume] mdecomp_91 ct=2
  [resume] mdecomp_92 ct=2
  [resume] sa_ct_93 ct=2
  [resume] tv_94 ct=2
  [resume] sa_ct_95 ct=2
  [resume] mdecomp_98 ct=2
  [resume] mdecomp_99 ct=2
  [resume] mdecomp_94 ct=2
  [resume] mdecomp_95 ct=2
  [resume] mdecomp_97 ct=2
  [resume] mdecomp_100 ct=2
  [resume] sa_ct_101 ct=2
  [resume] sa_ct_102 ct=2
  [resume] mdecomp_105 ct=2
  [resume] mdecomp_104 ct=2
  [resume] mdecomp_106 ct=2
  [resume] sa_ct_107 ct=2
  [resume] sa_ct_108 ct=2
  [resume] mdecomp_111 ct=2
  [resume] mdecomp_113 ct=2
  [resume] mdecomp_114 ct=2
  [resume] sa_ct_115 ct=2
  [resume] tv_116 ct=2
  [resume] sa_ct_117 ct=2
  [resume] mdecomp_120 ct=2
  [resume] mdecomp_121 ct=2
  [resume] mdecomp_122 ct=2
  [resume] sa_ct_124 ct=2
  [resume] sa_ct_125 ct=2
  [resume] sa_ct_121 ct=2
  [resume] sa_ct_122 ct=2
  [resume] mdecomp_123 ct=2
  [resume] mdecomp_124 ct=2
  [resume] mdecomp_126 ct=2
  [resume] sa_ct_127 ct=2
  [resume] sa_ct_128 ct=2
  [resume] mdecomp_131 ct=2
  [resume] mdecomp_133 ct=2
  [resume] mdecomp_134 ct=2
  [resume] sa_ct_135 ct=2
  [resume] tv_136 ct=2
  [resume] sa_ct_137 ct=2
  [resume] mdecomp_140 ct=2
  [resume] mdecomp_141 ct=2
  [resume] mdecomp_142 ct=2
  [resume] sa_ct_144 ct=2
  [resume] sa_ct_145 ct=2
  [resume] sa_ct_142 ct=2
  [resume] sa_ct_143 ct=2
  [resume] mdecomp_146 ct=2
  [resume] mdecomp_147 ct=2
  [resume] mdecomp_148 ct=2
  [resume] sa_ct_149 ct=2
  [resume] tv_150 ct=2
  [resume] sa_ct_151 ct=2
  [resume] mdecomp_154 ct=2
  [resume] mdecomp_155 ct=2
  [resume] mdecomp_156 ct=2
  [resume] sa_ct_158 ct=2
  [resume] sa_ct_159 ct=2
  [resume] mdecomp_162 ct=2
  [resume] mdecomp_163 ct=2
  [resume] mdecomp_165 ct=2
  [resume] sa_ct_166 ct=2
  [resume] sa_ct_167 ct=2
  [resume] mdecomp_170 ct=2
  [resume] mdecomp_172 ct=2
  [resume] mdecomp_173 ct=2
  [resume] sa_ct_174 ct=2
  [resume] sa_ct_176 ct=2
  [resume] mdecomp_167 ct=2
  [resume] mdecomp_168 ct=2
  [resume] sa_ct_170 ct=2
  [resume] sa_ct_171 ct=2
  [resume] mdecomp_174 ct=2
  [resume] mdecomp_176 ct=2
  [resume] mdecomp_177 ct=2
  [resume] sa_ct_178 ct=2
  [resume] tv_179 ct=2
  [resume] sa_ct_180 ct=2
  [resume] mdecomp_183 ct=2
  [resume] mdecomp_184 ct=2
  [resume] mdecomp_185 ct=2
  [resume] sa_ct_187 ct=2
  [resume] sa_ct_188 ct=2
  [resume] mdecomp_191 ct=2
  [resume] mdecomp_192 ct=2
  [resume] mdecomp_194 ct=2
  [resume] sa_ct_195 ct=2
  [resume] sa_ct_196 ct=2
  [resume] mdecomp_199 ct=2
  [resume] mdecomp_201 ct=2
  [resume] mdecomp_202 ct=2
  [resume] sa_ct_203 ct=2
  [resume] sa_ct_205 ct=2
  [resume] mdecomp_208 ct=2
  [resume] mdecomp_209 ct=2
  [resume] mdecomp_210 ct=2
  [resume] sa_ct_212 ct=2
  [resume] sa_ct_213 ct=2
  [resume] mdecomp_216 ct=2
  [resume] mdecomp_217 ct=2
  [resume] mdecomp_219 ct=2
  [resume] sa_ct_220 ct=2
  [resume] mdecomp_221 ct=2
  [resume] ic8_tv_21_2 ct=2
  [resume] sa_ct_221 ct=2
  [resume] sa_ct_223 ct=2
  [resume] sa_ct_224 ct=2
  [resume] mdecomp_228 ct=2
  [resume] mdecomp_214 ct=2
  [resume] mdecomp_215 ct=2
  [resume] sa_ct_216 ct=2
  [resume] sa_ct_217 ct=2
  [resume] mdecomp_218 ct=2
  [resume] ic12_tv_21_2 ct=2
  [resume] sa_ct_219 ct=2
  [resume] mdecomp_224 ct=2
  [resume] mdecomp_225 ct=2
